"targets","layer","name","description","fld_value","units","clip_n_ship_disag","clip_n_ship_disag_description","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","year_min","year_max","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique","data_na"
"pressures","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing (Reefs at Risk Revisited).

Data sources:

- [Reefs at Risk Revisited](www.wri.org/publication/reefs-at-risk-revisited) ","value","pressure score","equal","global pressures data were applied equally to all regions.","hd_subtidal_hb_global2014.csv","rgn_id",,,,"value",,TRUE,,,0.0332416853571429,0.0332416853571429,TRUE,,,,4,FALSE
"pressures","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project.

Data sources:

- [Sea Around Us Project (SAUP)](http://www.seaaroundus.org/)
","pressures.score","pressure score","equal","global pressures data were applied equally to all regions.","hd_subtidal_sb_global2014.csv","rgn_id",,,,"pressures.score",,TRUE,,,0.020334754,0.020334754,TRUE,,,,4,FALSE
"pressures","po_chemicals_3nm","Land-based chemical pollution","Modeled land-based organic pollution at 1km2 resolution (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","raster | equal","","po_chemicals_3nm_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.14296884936356,0.14296884936356,TRUE,,,,4,FALSE
"pressures","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","raster | equal","","po_nutrients_3nm_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.0420998,0.0420998,TRUE,,,,4,FALSE
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008). 

Data sources:

- Molnar, J.L., Gamboa, R.L., Revenga C., Spalding, M. (2008). **Assessing the global threat of invasive species to marine biodiversity**. _Frontiers in Ecology and the Environment_ 6(485). [doi:10.1890/070064](http://dx.doi.org/10.1890/070064)
","pressures.score","pressure score","equal","global pressures data were applied equally to all regions.","sp_alien_global2014.csv","rgn_id",,,,"pressures.score",,TRUE,,,0.003092612282168,0.003092612282168,TRUE,,,,4,FALSE
"pressures","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.","pressures.score","pressure score","equal","global pressures data were applied equally to all regions.","sp_genetic_global2014.csv","rgn_id",,,,"pressures.score",,TRUE,,,0.116252851,0.116252851,TRUE,,,,4,FALSE
"pressures","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores.

Data sources:

- [Worldwide Governance Indicators (WGI)](info.worldbank.org/governance/wgi/index.asp)","score","pressure score","equal","global pressures data were applied equally to all regions.","ss_wgi_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.507556364050239,0.507556364050239,TRUE,,,,4,FALSE
"pressures CP","cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","extent_rank","rank","equal","global pressures data were applied equally to all regions.","cp_habitat_extent_rank_global2014.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,,,1096.8024,4739.13,FALSE,,,,4,FALSE
"pressures CS","cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","km2","km^2","area_offshore_3nm","global habitat extent was applied to each region after weighting by each region's offshore area to 3nm. ","cs_habitat_extent_global2014.csv","rgn_id",,"habitat",,"km2",,TRUE,,,576.345,4739.13,FALSE,,,,4,FALSE
"pressures CW","po_chemicals","Ocean-based chemical pollution","Modeled ocean-based chemical pollution from commercial shipping traffic and ports and harbors (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","raster","spatial data was extracted for each region. ","po_chemicals_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.102248822732396,0.102248822732396,TRUE,,,,4,FALSE
"pressures CW","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution (Halpern et al. 2008).

Data sources:

- Halpern, B.S., Walbridge S., Selkoe, K.A., Kappel, C.V., Micheli, F., D'Agrosa, C., Bruno, J.F., Casey, K.S., Ebert, C., Fox, H.E., Fujita, R., Heinemann, D., Lenihan, H.S., Madin, E.M.P., Perry, M.T., Selig, E.R., Spalding, M., Steneck, R., Watson, R. (2008) **A global map of human impact on marine ecosystems**. _Science_, 3199(5865): 948-952. [doi:10.1126/science.1149345](http://dx.doi.org/10.1126/science.1149345)
","pressure_score","pressure score","raster","spatial data was extracted for each region. ","po_nutrients_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.00895267,0.00895267,TRUE,,,,4,FALSE
"pressures CW","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities. 

Data sources:

- [World Health Organization and United Nations Children's Fund's Joint Monitoring Programme (WHO/UNICEF's JMP)](www.wssinfo.org/data-estimates/table)
","pressure_score","pressure score","raster","spatial data was extracted for each region. ","po_pathogens_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.114288399382532,0.114288399382532,TRUE,,,,4,FALSE
"pressures CW","po_trash","Trash pollution","Density of trash from coastal land and sea (Ocean Conservancy). 

Data sources:

- [Ocean Conservancy International Coastal Cleanup 2012](http://www.oceanconservancy.org/our-work/international-coastal-cleanup/2012-ocean-trash-index.html)
","pressure_score","pressure score","equal","global pressures data were applied equally to all regions.","po_trash_global2014.csv","rgn_id",,,,"pressure_score",,TRUE,,,0.546359467548881,0.546359467548881,TRUE,,,,4,FALSE
"pressures HAB","hab_presence","Habitat presence","Modeled combined habitat presence","boolean","boolean","equal","global pressures data were applied equally to all regions.","hab_presence_global2014.csv","rgn_id",,"habitat",,"boolean",,TRUE,,,1,1,TRUE,,,,4,FALSE
"resilience","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion (Molnar et al. 2008). 

Data sources:

- Molnar, J.L., Gamboa, R.L., Revenga C., Spalding, M. (2008). **Assessing the global threat of invasive species to marine biodiversity**. _Frontiers in Ecology and the Environment_ 6(485). [doi:10.1890/070064](http://dx.doi.org/10.1890/070064)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","alien_species_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.625,0.625,TRUE,,,,4,FALSE
"resilience","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories.

Data sources:

- [CITES List of Contracting Parties](http://www.cites.org/eng/disc/parties/chronolo.php)

","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","cites_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,4,FALSE
"resilience","fishing_v1","CBD survey: coastal fishing v1","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","fishing_v1_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.874989979156722,0.874989979156722,TRUE,,,,4,FALSE
"resilience","fishing_v1_eez","CBD survey: ocean fishing v1","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","fishing_v1_eez_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.874989979156722,0.874989979156722,TRUE,,,,4,FALSE
"resilience","fishing_v2_eez","CBD survey: ocean fishing v2","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","fishing_v2_eez_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.814242484367542,0.814242484367542,TRUE,,,,4,FALSE
"resilience","fishing_v3","CBD survey: coastal fishing v3","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","fishing_v3_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.877333333333333,0.877333333333333,TRUE,,,,4,FALSE
"resilience","fishing_v3_eez","CBD survey: ocean fishing v3","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","fishing_v3_eez_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.877333333333333,0.877333333333333,TRUE,,,,4,FALSE
"resilience","habitat","CBD survey: habitat","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","habitat_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,4,FALSE
"resilience","habitat_combo","CBD survey: coastal habitat","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","habitat_combo_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,4,FALSE
"resilience","habitat_combo_eez","CBD survey: ocean habitat","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","habitat_combo_eez_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,1,1,TRUE,,,,4,FALSE
"resilience","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores from the World Economic Forum.

Data sources:

- [World Economic Forum](http://www.weforum.org/issues/global-competitiveness)
","score","resilience score","equal","global resilience data were applied equally to all regions.","li_gci_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.583877551020408,0.583877551020408,TRUE,,,,4,FALSE
"resilience","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector.","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","li_sector_evenness_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.354814147869,0.354814147869,TRUE,,,,4,FALSE
"resilience","mariculture","CBD survey: mariculture","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","mariculture_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.75,0.75,TRUE,,,,4,FALSE
"resilience","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI). 

Data sources:

- Trujillo P. (2008). **Using a mariculture sustainability index to rank countriesâ performances**. In: A comparative assessment of biodiversity, fisheries and aquaculture in 53 countriesâ Exclusive Economic Zones, Alder J, Pauly D, editors. _Fisheries Centre Research Report_, vol. 16(7) p. 28â56.","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","msi_gov_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.5,0.5,TRUE,,,,4,FALSE
"resilience","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean (IUCN).

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","resilience score","equal","global resilience data were applied equally to all regions.","species_diversity_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.887380163364266,0.887380163364266,TRUE,,,,4,FALSE
"resilience","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal (IUCN).

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","resilience score","equal","global resilience data were applied equally to all regions.","species_diversity_3nm_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.877212228394952,0.877212228394952,TRUE,,,,4,FALSE
"resilience","tourism","CBD survey: tourism","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","tourism_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.833333333333333,0.833333333333333,TRUE,,,,4,FALSE
"resilience","water","CBD survey: water","Survey responses by country to the Convention on Biological Diversity (CBD) Third National Report (2005) 

Data sources:

- [Convention on Biological Diversity (CBD)](http://www.cbd.int/reports/search/default.shtml)
","resilience score","resilience score","equal","global resilience data were applied equally to all regions.","water_global2014.csv","rgn_id",,,,"resilience.score",,TRUE,,,0.5,0.5,TRUE,,,,4,FALSE
"resilience","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores.

Data sources:

- [Worldwide Governance Indicators (WGI)](info.worldbank.org/governance/wgi/index.asp)","score","resilience score","equal","global resilience data were applied equally to all regions.","wgi_all_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.492443635949761,0.492443635949761,TRUE,,,,4,FALSE
"spatial","cntry_georegions","Georegion ids per country, at 3 georegion levels","Lookup table of country codes and UN georegions at 3 georegion levels.

Data sources:

- [UN geographical region and composition](http://unstats.un.org/unsd/methods/m49/m49regin.htm)","georgn_id","georegion id","raster","spatial data was extracted for each region. ","cntry_georegions_global2014.csv",,"cntry_key","level",,"georgn_id",,TRUE,,,1,419,FALSE,,,,4,FALSE
"spatial","cntry_rgn","Regions per country","Lookup table of country codes (based on ISO 3166 country codes) and Ocean Health Index region idenifiers.

Data sources:

- [ISO 3166 country codes](http://en.wikipedia.org/wiki/ISO_3166-1)
","rgn_id","region id","raster","spatial data was extracted for each region.","cntry_rgn_global2014.csv","rgn_id",,"cntry_key",,"rgn_id",,TRUE,,,1,4,FALSE,,,,4,FALSE
"spatial","rgn_area","Region area of total EEZ ocean","Area of Ocean Health Index regions based on exclusive economic zones (VLIZ 2012). 

Data sources:

- [VLIZ Maritime Boundaries Geodatabase, version 7](http://www.marineregions.org/)
","area_km2","km^2","raster","spatial data was extracted for each region.","rgn_area_global2014.csv","rgn_id",,,,"area_km2",,TRUE,,,36153.9863771,36153.9863771,FALSE,,,,4,FALSE
"spatial","rgn_area_inland1km","Region area 1 km inland","inland area 1 km from shore.","area_km2","km^2","raster","spatial data was extracted for each region.","rgn_area_inland1km_global2014.csv","rgn_id",,,,"area_km2",,TRUE,,,734.403898898905,734.403898898905,FALSE,,,,4,FALSE
"spatial","rgn_area_offshore3nm","Region area offshore 3nm","Area of Ocean Health Index regions to 3nm (VLIZ 2012). 

Data sources:

- [VLIZ Maritime Boundaries Geodatabase, version 7](http://www.marineregions.org/)
","area_km2","km^2","raster","spatial data was extracted for each region.","rgn_area_offshore3nm_global2014.csv","rgn_id",,,,"area_km2",,TRUE,,,5977.40153146612,5977.40153146612,FALSE,,,,4,FALSE
"spatial","rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","Lookup table of Ocean Health Index regions and UN georegion names at 3 georegion levels.

Data sources:

- [UN geographical region and composition](http://unstats.un.org/unsd/methods/m49/m49regin.htm)
","label","label","raster","spatial data was extracted for each region.","rgn_georegion_labels_global2014.csv","rgn_id",,"level",,,"label",TRUE,,,,,FALSE,,,,4,
"spatial","rgn_georegions","Georegion ids per region, at 3 georegion levels","Lookup table of Ocean Health Index regions and UN georegion identifiers at 3 georegion levels.

Data sources:

- [UN geographical region and composition](http://unstats.un.org/unsd/methods/m49/m49regin.htm)
","georgn_id","georegion id","raster","spatial data was extracted for each region.","rgn_georegions_global2014.csv","rgn_id",,"level",,"georgn_id",,TRUE,,,1,419,FALSE,,,,4,FALSE
"spatial","rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","Regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed. ","label","label","raster","spatial data was extracted for each region.","rgn_global_global2014.csv","rgn_id",,,,,"label",TRUE,,,,,FALSE,,,,4,
"spatial","rgn_labels","regions by type (eez, subocean, unclaimed) and label","Ocean Health Index regions by type (eez, subocean, unclaimed) and label","label","label","raster","spatial data was extracted for each region.","rgn_labels.csv","rgn_id",,"type",,,"label",TRUE,,,,,FALSE,,,,4,
"SPP","spp_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","status score","equal","global scores were applied equally to each region. ","spp_status_global2014.csv","rgn_id",,,,"score",,TRUE,,,0.887380163364266,0.887380163364266,TRUE,,,,4,FALSE
"SPP","spp_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists.

Data sources:

- [International Union for Conservation of Nature (IUCN)](http://www.iucnredlist.org/technical-documents/classification-schemes/threats-classification-scheme)
","score","trend score","equal","global trends were applied equally to each region. ","spp_trend_global2014.csv","rgn_id",,,,"score",,TRUE,,,-0.141715600137022,-0.141715600137022,FALSE,,,,4,FALSE
"TR","tr_jobs_total","Total labor force","Total labor force (number of people 15 years old and older who can supply labor for the production of goods and services) from World Bank assessments.

Data sources:

- [The World Bank](data.worldbank.org/indicator/SL.TLF.TOTL.IN)
","count","jobs","population_inland25km","global total labor force data were applied to each region after weighting by each region's coastal population.","tr_jobs_total_global2014.csv","rgn_id",,,"year","count",,TRUE,1990,2012,62882.9057199367,139455.755210515,FALSE,,,,4,FALSE
"TR","tr_jobs_tourism","Direct employment in tourism","Direct employment in tourism (WTTC).

Data sources:

- [World Travel and Tourism Council (WTTC)](www.wttc.org/research/economic-data-search-tool/)
","count","jobs","population_inland25km","global tourism employee data were applied to each region after weighting by each region's coastal population.","tr_jobs_tourism_global2014.csv","rgn_id",,,"year","count",,TRUE,1988,2013,2600,17000,FALSE,,,,4,FALSE
"TR","tr_sustainability","Sustainability index","Tourism Competitiveness Index (TTCI) from the World Economic Forum","score","score","equal ","global scores were applied equally to each region. ","tr_sustainability_global2014.csv","rgn_id",,,,"score",,TRUE,,,4.01,4.01,FALSE,,,,4,FALSE
"TR","tr_unemployment","Percent unemployment","Percent unemployment (The World Bank).

Data sources:

- [The World Bank](http://data.worldbank.org/indicator/SL.UEM.TOTL.ZS)
","percent","percent unemployed","equal","global unemployment percentages were applied equally to each region. ","tr_unemployment_global2014.csv","rgn_id",,,"year","percent",,TRUE,1980,2012,3.27722838382763,14.3000001907349,FALSE,,,,4,FALSE
